entidad_nombre,contratista_nombre,ct.id,ct.dias_adicionados,ct.valor,ct.valor_b,ct.objeto
"Secretaria Distrital De Seguridad, Convivencia Y Justicia",Secretaria Distrital De Gobierno 1,CO1.PCCNTR.1832328,1825,133205400.0,0.0,ENTREGAR EN CALIDAD DE COMODATO UN VEHÍCULO PARA USO DEL SECRETARIO DISTRITAL DE GOBIERNO
Agencia De Educación Postsecundaria De Medellín -Sapiencia-,Instituto Para El Desarrollo De Antioquia Idea,CO1.PCCNTR.6569724,1825,31180622466.0,0.0,Convenio interadministrativo para aunar esfuerzos técnicos; financieros; administrativos y operativos para la constitución de un fondo especial para la administración y pago de recursos en matrículas y sostenimiento semestrales o anuales del programa único de acceso y permanencia -PUAP- de SAPIENCIA
Alcaldia Municipio De Ibague*,Consorcio Riesgos Ibague 2019,CO1.PCCNTR.1190444,1793,274344028.0,0.0,REALIZAR LOS ESTUDIOS DE DETALLE DEN LOS SECTORES RURALES Y URBANOS RESPECTIVAMENTE; PARA EVALUAR LA AMENAZA; VULNERABILIDAD Y RIESGO CAUSADAS POR FENÓMENOS DE REMOCIÓN EN MASA Y/O AVENIDAS TORRENCIALES EN EL MUNCIPIO DE IBAGUE
Gobernacion Del Chocó.,Consorcio Mayeca 2020,CO1.PCCNTR.1937309,1606,18872198304.0,0.0,CONSTRUCCIÓN DE PAVIMENTO Y REDES DE ALCANTARILLADO DEL SECTOR LA ESMERALDA - LAS AMERICAS QUIBDÓ; CHOCÓ
Municipio De Neiva,Comfamiliar Huila,CO1.PCCNTR.1788884,1545,714285000.0,0.0,AUNAR ESFUERZOS PARA LA CONTRIBUCIÓN AL CAPITAL DE TRABAJO DE LAS EMPRESAS; APOYANDO EL EMPRENDIMIENTO Y BUSCANDO LA REACTIVACION ECONÒMICA; IMPACTANDO LAS NECESIDADES DE LIQUIDEZ; CAUSADAS POR LOS EFECTOS DEL COVID-19 CORONAVIRUS EN EL MUNICIPIO DE NEIVA.
Gobernación Norte De Santander*,Conorcio Astilleros C.O.M.,CO1.PCCNTR.2107222,1504,6048163695.0,0.0,INTERVENTORÍA TÉCNICA; ADMINISTRATIVA Y FINANCIERA PARA EL MEJORAMIENTO DE LA VIA ASTILLEROS - TIBU; TRAMOS PR33+445 AL PR35+460; PR35+730 AL PR35+910; PR36+315 AL PR39+310 Y PR39+710 AL PR41+000; MUNICIPIO DE TIBU; NORTE DE SANTANDER (CODIGO BPIN 20191301010180)
Departamento Administrativo De La Defensoria Del Espacio Publico,Equipamientos Urbanos Nacionales De Colombia S.A.S,CO1.PCCNTR.1541909,1468,112318252627.0,0.1,"Realizar el diseño; la fabricación; el suministro; la instalación; la actualización; el mantenimiento; la operación; el traslado y la reposición
del mobiliario urbano de Bogotá D.C.; así como su financiación."
Instituto Colombiano Agropecuario - Seccional Cundinamarca,Municipio De Villapinzon,CO1.PCCNTR.7881279,1461,168640042.0,0.0,Aunar esfuerzos entre el Instituto Colombiano Agropecuario - ICA y el municipio de VILLAPINZON; departamento de Cundinamarca; para realizar la expedición de Guías Sanitarias de Movilización Interna - GSMI; Expedición de Bonos de Venta; Registro de Hierros o Marcas y Registro de Transportadores y Veh
Departamento De Antioquia//,Alcaldia De El Peñol,CO1.PCCNTR.2940942,1461,223996617.0,0.0,ENTREGAR A TITULO DE COMODATO AL MUNICIPIO DE EL PEÑOL EL INMUEBLE PROPIEDAD DEL DEPARTAMENTO DE ANTIOQUIA IDENTIFICADO CON EL FOLIO DE MATRICULA INMOBILIARIA 018-34311
Gobernación Norte De Santander*,Consorcio Serco-Ing,CO1.PCCNTR.1889021,1450,82215748198.0,0.1,MEJORAMIENTO DE LA VIA ASTILLEROS-TIBU; TRAMOS PR 33+445 AL PR 35+460; PR 35+730 AL PR 35+910; PR 36+315 AL PR 39+310 Y PR 39+710 AL PR 41+000; MUNICIPIO DE TIBU; NORTE DE SANTANDER
Departamento De Antioquia//,Asamblea Departamental De Antioquia,CO1.PCCNTR.4795916,1355,976335645.0,0.0,Entregar a título de comodato a la Asamblea Departamental de Antioquia; bienes muebles; electrónicos e informáticos propiedad del Departamento de Antioquia
"Secretaria Distrital De Seguridad, Convivencia Y Justicia",Décimo Tercera Brigada Ejercito Nacional,CO1.PCCNTR.643623,1280,839378064.0,0.0,LA SECRETARIA DISTRITAL DE SEGURIDAD; CONVIVENCIA Y JUSTICIA DE BOGOTÁ D.C. ENTREGA EN COMODATO BIENES DE INTENDENCIA PARA LA DÉCIMA TERCERA BRIGADA DEL EJÉRCITO NACIONAL
"Secretaria Distrital De Seguridad, Convivencia Y Justicia",Fiscalía General De La Nación Regional Central,CO1.PCCNTR.845740,1280,14483243965.0,0.0,ENTREGAR A TÍTULO DE COMODATO BIENES DE TELEMÁTICA Y COMUNICACIONES A LA FISCALÍA GENERAL DE LA NACIÓN SECCIONAL BOGOTÁ
"Secretaria Distrital De Seguridad, Convivencia Y Justicia",Décimo Tercera Brigada Ejercito Nacional,CO1.PCCNTR.699504,1279,9044939057.0,0.0,LA SECRETARIA DISTRITAL DE SEGURIDAD; CONVIVENCIA Y JUSTICIA DE BOGOTÁ D.C. ENTREGA EN COMODATO BIENES DE TELEMATICA Y COMUNICACIONES A LA DÉCIMA TERCERA BRIGADA.
Prosperidad Social,Gobernación De Risaralda**,CO1.PCCNTR.2574360,1219,1352846058.0,0.0,"Aunar esfuerzos técnicos; administrativos y financieros; entre el DepartamentoAdministrativo para la Prosperidad Social - Fondo de Inversión para la Paz -
PROSPERIDAD SOCIAL - FIP y la ENTIDAD TERRITORIAL; para la ejecución de obras
de infraestructura social vial; con el propósito de aportar a la in"
Santiago De Cali Distrito Especial - Departamento Administrativo De Hacienda,Banco Bilbao Vizcaya Argentaria S.A. (Oficial),CO1.PCCNTR.2757316,1187,174100000000.0,0.2,El PRESTAMISTA otorgará al PRESTATARIO; un contrato de empréstito Interno y de pignoración de rentas hasta por la suma de ciento setenta y cuatro mil cien millones de Pesos M/L ($174.100.000.000); con las siguientes condiciones financieras ...
